inkml_file_path,audio_file_path,latex_ground_truth,spoken_text
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_772_E3858.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_772_E3858.mp3,"x^{2n-2}, x^{2n-3},\ldots, x^n","x to the power of start 2n minus 2 end , x to the power of start 2n minus 3 end ,ldots, x to the power of n"
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_041_E325.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_041_E325.mp3,i\neq n,ineq n
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_002_E14.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_002_E14.mp3,\sin^2{y},sin to the power of 2 start y end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_089_E712.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_089_E712.mp3,\frac{2499}{200},fraction start 2499 end start 200 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_688_E3437.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_688_E3437.mp3,\frac{1}{8}(3 n^3 + 4 n^2 + 15 n + 10),fraction start 1 end start 8 end 3 n to the power of 3 plus 4 n to the power of 2 plus 15 n plus 10
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_016_E121.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_016_E121.mp3,f(x) = x^{2n +1},fx equals x to the power of start 2n plus 1 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_793_E3963.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_793_E3963.mp3,P_4(x)=(x+m)P_3(x),P sub 4x equals x plus mP sub 3x
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_183_E915.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_183_E915.mp3,\frac{27}{7},fraction start 27 end start 7 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_705_E3524.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_705_E3524.mp3,A=\frac{x}{n}f\left(\frac{kx}{n}\right)I_n(x),A equals fraction start x end start n end f fraction start kx end start n end I sub nx
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_673_E3361.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_673_E3361.mp3,\pm\frac{3}{4}\frac{\sqrt{\pi}}{R},pm fraction start 3 end start 4 end fraction start square root of start pi end end start R end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_704_E3516.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_704_E3516.mp3,\sum m^2_B - \sum m^2_F=0,sum from m to the power of 2 sub B minus sum from m to the power of 2 sub F equals 0
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_193_E962.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_193_E962.mp3,(n+\frac{1}{2}),n plus fraction start 1 end start 2 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_039_E312.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_039_E312.mp3,u=\tan(z),u equals tan z
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_775_E3872.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_775_E3872.mp3,t_{n-j}^{+(n-p-1)a_p},t sub start n minus j end to the power of start plus n minus p minus 1a sub p end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_172_E858.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_172_E858.mp3,\sin (\theta )\neq 0,sin theta neq 0
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_665_E3321.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_665_E3321.mp3,q = \beta^3 + \beta^5 +\beta^6,q equals beta to the power of 3 plus beta to the power of 5 plus beta to the power of 6
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_166_E826.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_166_E826.mp3,\frac{3}{2}n,fraction start 3 end start 2 end n
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_167_E832.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_167_E832.mp3,\frac {1}{ 2} - \sin^2 \alpha,fraction start 1 end start 2 end minus sin to the power of 2 alpha
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_698_E3489.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_698_E3489.mp3,\cos f(0)=\cos f(\pi)=\pm 1,cos f0 equals cos f pi equals pm 1
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_707_E3535.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_707_E3535.mp3,\frac{189}{100},fraction start 189 end start 100 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_021_E166.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_021_E166.mp3,1\leq i\leq n+1,1leq ileq n plus 1
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_763_E3814.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_763_E3814.mp3,56_c+8_v+56_v+8_c,56 sub c plus 8 sub v plus 56 sub v plus 8 sub c
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_040_E315.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_040_E315.mp3,c(z)=\sum_{i=0}^{2} c_i z^i,cz equals sum from sub start i equals 0 end to the power of start 2 end c sub i z to the power of i
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_180_E898.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_180_E898.mp3,q = \frac {1}{ 3} (3 a_0 - a_1 a_2) + \frac {2}{ 27}a_2^3,q equals fraction start 1 end start 3 end 3 a sub 0 minus a sub 1 a sub 2 plus fraction start 2 end start 27 end a sub 2 to the power of 3
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_097_E770.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_097_E770.mp3,\pm 4i\sqrt{15},pm 4i square root of start 15 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_711_E3553.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_711_E3553.mp3,45 + E/4 -6 \sqrt{36 +E},45 plus E/4 minus 6 square root of start 36 plus E end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_705_E3522.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_705_E3522.mp3,h=\tan \phi,h equals tan phi
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_780_E3899.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_780_E3899.mp3,v e^{\sqrt\beta v z},v e to the power of start square root of beta v z end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_010_E77.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_010_E77.mp3,\beta(0.418)=0.0893,beta 0.418 equals 0.0893
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_093_E738.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_093_E738.mp3,4+2+4+1=11,4 plus 2 plus 4 plus 1 equals 11
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_203_E1015.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_203_E1015.mp3,y=x_8+i x_9,y equals x sub 8 plus i x sub 9
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_694_E3469.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_694_E3469.mp3,9 (1968) 1605-1614,9 1968 1605 minus 1614
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_713_E3562.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_713_E3562.mp3,z=\frac{\alpha}{\sqrt{2}},z equals fraction start alpha end start square root of start 2 end end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_002_E10.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_002_E10.mp3,4+x,4 plus x
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_042_E334.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_042_E334.mp3,\sqrt{GM},square root of start GM end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_201_E1004.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_201_E1004.mp3,a(t) = \sin (Ht),at equals sin Ht
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_671_E3352.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_671_E3352.mp3,5 \times 6,5 times 6
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_006_E41.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_006_E41.mp3,\sin Lt,sin Lt
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_194_E967.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_194_E967.mp3,v(z)=\sum_{n}v_{n}z^{n},vz equals sum from sub start n end v sub start n end z to the power of start n end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_100_E793.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_100_E793.mp3,h \geq 3 \times 2 +1 = 7,h geq 3 times 2 plus 1 equals 7
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_095_E757.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_095_E757.mp3,"\left(-\frac {4}{ 3},-\frac {1}{ 3}\right)","minus fraction start 4 end start 3 end , minus fraction start 1 end start 3 end"
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_014_E106.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_014_E106.mp3,3\times\infty,3times in fty
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_196_E979.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_196_E979.mp3,|a_1|^2 +|a_2|^2+|a_3|^2=1,|a sub 1| to the power of 2 plus |a sub 2| to the power of 2 plus |a sub 3| to the power of 2 equals 1
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_779_E3892.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_779_E3892.mp3,\frac{1}{6}(8 + 9n + n^2),fraction start 1 end start 6 end 8 plus 9n plus n to the power of 2
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_027_E213.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_027_E213.mp3,\int P[C_3] \neq 0,integral from P[C sub 3] neq 0
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_777_E3881.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_777_E3881.mp3,E=m_{0}c^{2}{(1-\frac{v^{2}} {c^{2}})}^{-\frac{1} {2}},E equals m sub start 0 end c to the power of start 2 end start 1 minus fraction start v to the power of start 2 end end start c to the power of start 2 end end end to the power of start minus fraction start 1 end start 2 end end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_174_E870.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_174_E870.mp3,a=-b^{-1}c+b^{-1}ab,a equals minus b to the power of start minus 1 end c plus b to the power of start minus 1 end ab
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_708_E3536.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_708_E3536.mp3,14 + 1 + 1,14 plus 1 plus 1
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_179_E892.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_179_E892.mp3,\lim_{r \rightarrow +\infty} u^{\prime}v^{\prime}=0,limit as sub start r arrow plus in fty end u to the power of start prime end v to the power of start prime end equals 0
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_042_E330.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_042_E330.mp3,\sqrt{-9t} t,square root of start minus 9t end t
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_162_E810.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_162_E810.mp3,\sin\alpha =(r/s) \sin\theta,sin alpha equals r/s sin theta
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_723_E3613.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_723_E3613.mp3,137 = 3 + 7 + 127 = (2^2 - 1) + (2^3 - 1) + (2^7 - 1),137 equals 3 plus 7 plus 127 equals 2 to the power of 2 minus 1 plus 2 to the power of 3 minus 1 plus 2 to the power of 7 minus 1
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_167_E834.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_167_E834.mp3,8+8+8+8+6,8 plus 8 plus 8 plus 8 plus 6
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_023_E183.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_023_E183.mp3,B^{23}+B^{56}=2B^{23},B to the power of start 23 end plus B to the power of start 56 end equals 2B to the power of start 23 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_090_E716.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_090_E716.mp3,n \times p,n times p
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_095_E753.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_095_E753.mp3,\phi_{\infty} = \lim_{r\rightarrow\infty} \phi(r),phi sub start in fty end equals limit as sub start rarrow in fty end phir
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_791_E3954.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_791_E3954.mp3,a^2=a_1^2+a_2^2+a_3^2,a to the power of 2 equals a sub 1 to the power of 2 plus a sub 2 to the power of 2 plus a sub 3 to the power of 2
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_043_E341.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_043_E341.mp3,S=s\int d^nx\sqrt{\gamma},S equals s integral from d to the power of nx square root of start gamma end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_041_E327.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_041_E327.mp3,z^j = x^j + ix^{j+4},z to the power of j equals x to the power of j plus ix to the power of start j plus 4 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_091_E726.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_091_E726.mp3,z_1 = x^4 + i x^5,z sub 1 equals x to the power of 4 plus i x to the power of 5
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_694_E3470.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_694_E3470.mp3,u+v+\frac{v^{5}}{u}=0,u plus v plus fraction start v to the power of start 5 end end start u end equals 0
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_178_E886.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_178_E886.mp3,S_a(n) = \sum_{j=1}^n j^{-a},S sub an equals sum from sub start j equals 1 end to the power of n j to the power of start minus a end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_097_E769.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_097_E769.mp3,-\frac{5}{2},minus fraction start 5 end start 2 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_176_E877.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_176_E877.mp3,2\times 35,2times 35
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_718_E3588.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_718_E3588.mp3,\frac{59}{12},fraction start 59 end start 12 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_182_E907.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_182_E907.mp3,x\rightarrow-x,xarrow minus x
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_092_E731.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_092_E731.mp3,48!/(17!31!),48!/17!31!
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_678_E3389.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_678_E3389.mp3,w=\frac{v+u}{1+vu},w equals fraction start v plus u end start 1 plus vu end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_761_E3805.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_761_E3805.mp3,a=\frac{1}{2}b^{-1}c,a equals fraction start 1 end start 2 end b to the power of start minus 1 end c
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_005_E35.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_005_E35.mp3,[b_1] \times [b_2] \times [b_3],[b sub 1] times [b sub 2] times [b sub 3]
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_092_E735.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_092_E735.mp3,x\rightarrow +0,xarrow plus 0
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_203_E1011.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_203_E1011.mp3,q=\tan(\theta/2)=0.1,q equals tan theta/2 equals 0.1
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_728_E3639.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_728_E3639.mp3,"x=\{ x^0,x^1,x^2,x^3\}","x equals start x to the power of 0,x to the power of 1,x to the power of 2,x to the power of 3 end"
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_794_E3969.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_794_E3969.mp3,\frac{x_1}{\sqrt{\gamma}}+i\sqrt{\gamma}x_2,fraction start x sub 1 end start square root of start gamma end end plus i square root of start gamma end x sub 2
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_044_E346.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_044_E346.mp3,H(t_3x_3+x_1),Ht sub 3x sub 3 plus x sub 1
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_185_E924.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_185_E924.mp3,8\times8,8times8
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_161_E803.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_161_E803.mp3,c\geq a,cgeq a
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_685_E3425.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_685_E3425.mp3,- \frac{1+z^2}{2},minus fraction start 1 plus z to the power of 2 end start 2 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_686_E3426.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_686_E3426.mp3,(125)-(135)+(735)-(725)-(1246)-(7346),125 minus 135 plus 735 minus 725 minus 1246 minus 7346
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_177_E883.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_177_E883.mp3,x\pm t,xpm t
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_682_E3410.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_682_E3410.mp3,\int d^4x \sqrt{g} R + c V^{1/2},integral from d to the power of 4x square root of start g end R plus c V to the power of start 1/2 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_665_E3323.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_665_E3323.mp3,7.735 \times {{10}^{ -2 }},7.735 times start start 10 end to the power of start minus 2 end end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_709_E3545.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_709_E3545.mp3,x\neq 0,xneq 0
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_017_E131.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_017_E131.mp3,\frac{6}{5},fraction start 6 end start 5 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_038_E300.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_038_E300.mp3,\int_{y_0}^{Y} d^3y,integral from sub start y sub 0 end to the power of start Y end d to the power of 3y
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_690_E3446.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_690_E3446.mp3,\int dx \sqrt{2m(V(x)-E)},integral from dx square root of start 2mVx minus E end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_091_E722.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_091_E722.mp3,[a_1] \times [a_2] \times [b_3],[a sub 1] times [a sub 2] times [b sub 3]
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_100_E800.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_100_E800.mp3,c=\lim_{k \rightarrow +\infty}\Delta(k),c equals limit as sub start k arrow plus in fty end Deltak
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_202_E1007.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_202_E1007.mp3,292 (1992) 269,292 1992 269
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_673_E3363.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_673_E3363.mp3,ds^2 = (dx^1)^2 + \ldots + (dx^7)^2,ds to the power of 2 equals dx to the power of 1 to the power of 2 plus ldots plus dx to the power of 7 to the power of 2
